gss_code,leisure_density,wardname,leisurecount,fastfood_density,fastfoodcount,alcohol_density,alcoholcount,beverages_density,beveragescount,confectionery_density,confectionerycount,convenience_density,conveniencecount,departmentstore_density,departmentstorecount,farm_density,farmcount,greengrocer_density,greengrocercount,grocery_density,grocerycount,mall_density,mallcount,supermarket_density,supermarketcount,health_density,health_rate_parcent
E05000026,6.24E-06,Abbey,8,3.12E-06,4,1.56E-06,2,1.56E-06,2,1.56E-06,2,7.02E-06,9,1.56E-06,2,1.56E-06,2,1.56E-06,2,1.56E-06,2,2.34E-06,3,3.12E-06,4,1.17E-05,15.78947368
E05000027,7.33E-07,Alibon,1,7.33E-07,1,7.33E-07,1,7.33E-07,1,7.33E-07,1,7.33E-07,1,7.33E-07,1,7.33E-07,1,7.33E-07,1,7.33E-07,1,7.33E-07,1,7.33E-07,1,4.40E-06,7.2
E05000028,7.76E-07,Becontree,1,7.76E-07,1,7.76E-07,1,7.76E-07,1,7.76E-07,1,7.76E-07,1,7.76E-07,1,7.76E-07,1,7.76E-07,1,7.76E-07,1,7.76E-07,1,7.76E-07,1,4.66E-06,7.2
E05000029,2.95E-07,Chadwell Heath,1,2.95E-07,1,2.95E-07,1,2.95E-07,1,2.95E-07,1,2.95E-07,1,2.95E-07,1,2.95E-07,1,2.95E-07,1,2.95E-07,1,2.95E-07,1,2.95E-07,1,1.77E-06,7.2
E05000030,2.90E-06,Eastbrook,10,2.90E-07,1,2.90E-07,1,2.90E-07,1,2.90E-07,1,2.90E-07,1,2.90E-07,1,2.90E-07,1,2.90E-07,1,2.90E-07,1,2.90E-07,1,2.90E-07,1,1.74E-06,7.2
E05000031,6.95E-07,Eastbury,1,2.08E-06,3,6.95E-07,1,6.95E-07,1,6.95E-07,1,6.95E-07,1,6.95E-07,1,6.95E-07,1,6.95E-07,1,6.95E-07,1,6.95E-07,1,6.95E-07,1,4.17E-06,6.857142857
E05000032,4.39E-06,Gascoigne,5,8.78E-07,1,8.78E-07,1,8.78E-07,1,8.78E-07,1,8.78E-07,1,8.78E-07,1,8.78E-07,1,8.78E-07,1,8.78E-07,1,8.78E-07,1,8.78E-07,1,5.27E-06,7.2
E05000033,3.91E-06,Goresbrook,5,7.83E-07,1,7.83E-07,1,7.83E-07,1,7.83E-07,1,7.83E-07,1,7.83E-07,1,7.83E-07,1,7.83E-07,1,7.83E-07,1,7.83E-07,1,7.83E-07,1,4.70E-06,7.2
E05000034,7.00E-06,Heath,14,5.00E-07,1,5.00E-07,1,5.00E-07,1,5.00E-07,1,5.00E-07,1,5.00E-07,1,5.00E-07,1,5.00E-07,1,5.00E-07,1,5.00E-07,1,5.00E-07,1,3.00E-06,7.2
E05000035,6.08E-07,Longbridge,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,6.08E-07,1,3.65E-06,7.2
E05000036,5.39E-07,Mayesbrook,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,5.39E-07,1,3.23E-06,7.2
E05000037,8.04E-07,Parsloes,1,8.04E-07,1,8.04E-07,1,8.04E-07,1,8.04E-07,1,8.04E-07,1,8.04E-07,1,8.04E-07,1,8.04E-07,1,8.04E-07,1,8.04E-07,1,8.04E-07,1,4.82E-06,7.2
E05000038,2.82E-07,River,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,2.82E-07,1,1.69E-06,7.2
